,County Name,State
0,Aleutians East Borough,Alaska
1,Aleutians West Census Area,Alaska
2,Anchorage Municipality,Alaska
3,Bethel Census Area,Alaska
4,Bristol Bay Borough,Alaska
5,Denali Borough,Alaska
6,Dillingham Census Area,Alaska
7,Fairbanks North Star Borough,Alaska
8,Haines Borough,Alaska
9,Hoonah-Angoon Census Area,Alaska
10,Juneau City and Borough,Alaska
11,Kenai Peninsula Borough,Alaska
12,Ketchikan Gateway Borough,Alaska
13,Kodiak Island Borough,Alaska
14,Kusilvak Census Area,Alaska
15,Lake and Peninsula Borough,Alaska
16,Matanuska-Susitna Borough,Alaska
17,Nome Census Area,Alaska
18,North Slope Borough,Alaska
19,Northwest Arctic Borough,Alaska
20,Petersburg Borough,Alaska
21,Prince of Wales-Hyder Census Area,Alaska
22,Sitka City and Borough,Alaska
23,Skagway Municipality,Alaska
24,Southeast Fairbanks Census Area,Alaska
25,Valdez-Cordova Census Area,Alaska
26,Wrangell City and Borough,Alaska
27,Yakutat City and Borough,Alaska
28,Yukon-Koyukuk Census Area,Alaska
29,District of Columbia,District of Columbia
30,Acadia Parish,Louisiana
31,Allen Parish,Louisiana
32,Ascension Parish,Louisiana
33,Assumption Parish,Louisiana
34,Avoyelles Parish,Louisiana
35,Beauregard Parish,Louisiana
36,Bienville Parish,Louisiana
37,Bossier Parish,Louisiana
38,Caddo Parish,Louisiana
39,Calcasieu Parish,Louisiana
40,Caldwell Parish,Louisiana
41,Cameron Parish,Louisiana
42,Catahoula Parish,Louisiana
43,Claiborne Parish,Louisiana
44,Concordia Parish,Louisiana
45,De Soto Parish,Louisiana
46,East Baton Rouge Parish,Louisiana
47,East Carroll Parish,Louisiana
48,East Feliciana Parish,Louisiana
49,Evangeline Parish,Louisiana
50,Franklin Parish,Louisiana
51,Grant Parish,Louisiana
52,Iberia Parish,Louisiana
53,Iberville Parish,Louisiana
54,Jackson Parish,Louisiana
55,Jefferson Parish,Louisiana
56,Jefferson Davis Parish,Louisiana
57,Lafayette Parish,Louisiana
58,Lafourche Parish,Louisiana
59,LaSalle Parish,Louisiana
60,Lincoln Parish,Louisiana
61,Livingston Parish,Louisiana
62,Madison Parish,Louisiana
63,Morehouse Parish,Louisiana
64,Natchitoches Parish,Louisiana
65,Orleans Parish,Louisiana
66,Ouachita Parish,Louisiana
67,Plaquemines Parish,Louisiana
68,Pointe Coupee Parish,Louisiana
69,Rapides Parish,Louisiana
70,Red River Parish,Louisiana
71,Richland Parish,Louisiana
72,Sabine Parish,Louisiana
73,St. Bernard Parish,Louisiana
74,St. Charles Parish,Louisiana
75,St. Helena Parish,Louisiana
76,St. James Parish,Louisiana
77,St. John the Baptist Parish,Louisiana
78,St. Landry Parish,Louisiana
79,St. Martin Parish,Louisiana
80,St. Mary Parish,Louisiana
81,St. Tammany Parish,Louisiana
82,Tangipahoa Parish,Louisiana
83,Tensas Parish,Louisiana
84,Terrebonne Parish,Louisiana
85,Union Parish,Louisiana
86,Vermilion Parish,Louisiana
87,Vernon Parish,Louisiana
88,Washington Parish,Louisiana
89,Webster Parish,Louisiana
