,County,State,Total infections
0,Autauga County,Alabama,2871893
1,Baldwin County,Alabama,9751057
2,Barbour County,Alabama,983791
3,Bibb County,Alabama,1144559
4,Blount County,Alabama,2851498
5,Bullock County,Alabama,475274
6,Butler County,Alabama,922146
7,Calhoun County,Alabama,6084005
8,Chambers County,Alabama,1550459
9,Cherokee County,Alabama,818383
10,Chilton County,Alabama,1842132
11,Choctaw County,Alabama,249429
12,Clarke County,Alabama,1417386
13,Clay County,Alabama,663867
14,Cleburne County,Alabama,650656
15,Coffee County,Alabama,2469979
16,Colbert County,Alabama,2606641
17,Conecuh County,Alabama,498349
18,Coosa County,Alabama,458558
19,Covington County,Alabama,1827503
20,Crenshaw County,Alabama,670463
21,Cullman County,Alabama,4201094
22,Dale County,Alabama,2269751
23,Dallas County,Alabama,1467657
24,DeKalb County,Alabama,3675024
25,Elmore County,Alabama,4264786
26,Escambia County,Alabama,1786843
27,Etowah County,Alabama,5736968
28,Fayette County,Alabama,876518
29,Franklin County,Alabama,1762598
30,Geneva County,Alabama,1164739
31,Greene County,Alabama,374637
32,Hale County,Alabama,902532
33,Henry County,Alabama,842951
34,Houston County,Alabama,4683928
35,Jackson County,Alabama,2844462
36,Jefferson County,Alabama,32568354
37,Lamar County,Alabama,615842
38,Lauderdale County,Alabama,3992566
39,Lawrence County,Alabama,1270211
40,Lee County,Alabama,6743546
41,Limestone County,Alabama,4264342
42,Lowndes County,Alabama,543135
43,Macon County,Alabama,658953
44,Madison County,Alabama,14590548
45,Marengo County,Alabama,1002153
46,Marion County,Alabama,1369746
47,Marshall County,Alabama,5155981
48,Mobile County,Alabama,18725168
49,Monroe County,Alabama,834285
50,Montgomery County,Alabama,9945480
51,Morgan County,Alabama,6037340
52,Perry County,Alabama,429730
53,Pickens County,Alabama,950324
54,Pike County,Alabama,1334994
55,Randolph County,Alabama,826819
56,Russell County,Alabama,1852091
57,Shelby County,Alabama,10364011
58,St. Clair County,Alabama,4309243
59,Sumter County,Alabama,412158
60,Talladega County,Alabama,3610462
61,Tallapoosa County,Alabama,1803285
62,Tuscaloosa County,Alabama,10376011
63,Walker County,Alabama,3103828
64,Washington County,Alabama,711906
65,Wilcox County,Alabama,506334
66,Winston County,Alabama,1212451
67,Aleutians East Borough County,Alaska,131173
68,Aleutians West Census Area County,Alaska,262096
69,Anchorage County,Alaska,13733051
70,Bethel Census Area County,Alaska,1628835
71,Bristol Bay plus Lake and Peninsula County,Alaska,101134
72,Denali Borough County,Alaska,54636
73,Dillingham Census Area County,Alaska,148845
74,Fairbanks North Star Borough County,Alaska,3535763
75,Haines Borough County,Alaska,33643
76,Juneau City and Borough County,Alaska,781224
77,Kenai Peninsula Borough County,Alaska,2341477
78,Ketchikan Gateway Borough County,Alaska,337524
79,Kodiak Island Borough County,Alaska,560579
80,Kusilvak Census Area County,Alaska,559038
81,Matanuska-Susitna Borough County,Alaska,5077547
82,Nome Census Area County,Alaska,291987
83,North Slope Borough County,Alaska,560819
84,Northwest Arctic Borough County,Alaska,360810
85,Petersburg Borough County,Alaska,75893
86,Prince of Wales-Hyder Census Area County,Alaska,94030
87,Sitka City and Borough County,Alaska,242485
88,Skagway Municipality County,Alaska,14463
89,Southeast Fairbanks Census Area County,Alaska,300716
90,Unknown County,Alaska,130834
91,Valdez-Cordova Census Area County,Alaska,351148
92,Wrangell City and Borough County,Alaska,32227
93,Yakutat plus Hoonah-Angoon County,Alaska,45041
94,Yukon-Koyukuk Census Area County,Alaska,166911
95,Apache County,Arizona,4388287
96,Cochise County,Arizona,4798914
97,Coconino County,Arizona,7030273
98,Gila County,Arizona,2860459
99,Graham County,Arizona,2250912
100,Greenlee County,Arizona,278063
101,La Paz County,Arizona,975907
102,Maricopa County,Arizona,220139589
103,Mohave County,Arizona,9545408
104,Navajo County,Arizona,6586986
105,Pima County,Arizona,45201617
106,Pinal County,Arizona,21305250
107,Santa Cruz County,Arizona,3038256
108,Yavapai County,Arizona,8116932
109,Yuma County,Arizona,13964466
110,Arkansas County,Arkansas,940605
111,Ashley County,Arkansas,857506
112,Baxter County,Arkansas,1539089
113,Benton County,Arkansas,12151991
114,Boone County,Arkansas,1720368
115,Bradley County,Arkansas,579529
116,Carroll County,Arkansas,1218237
117,Chicot County,Arkansas,636823
118,Clark County,Arkansas,910882
119,Cleveland County,Arkansas,403470
120,Columbia County,Arkansas,970017
121,Conway County,Arkansas,922335
122,Craighead County,Arkansas,5926429
123,Crawford County,Arkansas,3002705
124,Crittenden County,Arkansas,2519893
125,Cross County,Arkansas,834925
126,Desha County,Arkansas,558977
127,Drew County,Arkansas,840830
128,Faulkner County,Arkansas,5476076
129,Fulton County,Arkansas,494756
130,Garland County,Arkansas,4423320
131,Grant County,Arkansas,766712
132,Hempstead County,Arkansas,835836
133,Hot Spring County,Arkansas,2179675
134,Howard County,Arkansas,691068
135,Independence County,Arkansas,1723183
136,Izard County,Arkansas,727464
137,Johnson County,Arkansas,1257791
138,Lafayette County,Arkansas,233455
139,Lincoln County,Arkansas,1225952
140,Little River County,Arkansas,544500
141,Logan County,Arkansas,981788
142,Lonoke County,Arkansas,3253803
143,Miller County,Arkansas,1801422
144,Mississippi County,Arkansas,2412544
145,Nevada County,Arkansas,366920
146,Newton County,Arkansas,327788
147,Ouachita County,Arkansas,980100
148,Phillips County,Arkansas,834068
149,Poinsett County,Arkansas,1376402
150,Polk County,Arkansas,833229
151,Pope County,Arkansas,3400173
152,Prairie County,Arkansas,372794
153,Pulaski County,Arkansas,16818166
154,Saline County,Arkansas,5216718
155,Scott County,Arkansas,436205
156,Searcy County,Arkansas,334496
157,Sebastian County,Arkansas,6399608
158,Sevier County,Arkansas,1140087
159,Sharp County,Arkansas,751276
160,St. Francis County,Arkansas,1449212
161,Stone County,Arkansas,467547
162,Union County,Arkansas,1650056
163,Van Buren County,Arkansas,587094
164,White County,Arkansas,3582199
165,Woodruff County,Arkansas,289720
166,Yell County,Arkansas,1389715
167,Alameda County,California,35695328
168,Alpine County,California,33141
169,Amador County,California,1541504
170,Butte County,California,5883112
171,Calaveras County,California,992460
172,Colusa County,California,909909
173,Contra Costa County,California,28657017
174,Del Norte County,California,775491
175,El Dorado County,California,4546801
176,Fresno County,California,42503396
177,Glenn County,California,1211583
178,Humboldt County,California,2116420
179,Imperial County,California,11412161
180,Inyo County,California,587427
181,Kern County,California,43754546
182,Kings County,California,9569456
183,Lake County,California,1652721
184,Lassen County,California,2294453
185,Los Angeles County,California,477580584
186,Madera County,California,6900034
187,Marin County,California,5530026
188,Mariposa County,California,273838
189,Mendocino County,California,1954987
190,Merced County,California,12667978
191,Modoc County,California,227443
192,Mono County,California,511854
193,Monterey County,California,16626806
194,Napa County,California,3890941
195,Orange County,California,104235810
196,Placer County,California,10313825
197,Plumas County,California,368316
198,Riverside County,California,117231314
199,Sacramento County,California,44494037
200,San Benito County,California,2351270
201,San Bernardino County,California,115185345
202,San Diego County,California,114366289
203,San Francisco County,California,15605007
204,San Joaquin County,California,29984541
205,San Luis Obispo County,California,8673009
206,San Mateo County,California,16575122
207,Santa Barbara County,California,13599757
208,Santa Clara County,California,45796345
209,Shasta County,California,5889799
210,Sierra County,California,36636
211,Siskiyou County,California,1071674
212,Solano County,California,13424900
213,Sonoma County,California,12271497
214,Stanislaus County,California,25099534
215,Sutter County,California,3965815
216,Tehama County,California,2359618
217,Trinity County,California,190410
218,Tulare County,California,22151859
219,Tuolumne County,California,1881884
220,Ventura County,California,31555064
221,Yolo County,California,5812635
222,Yuba County,California,2790205
223,Adams County,Colorado,23263179
224,Alamosa County,Colorado,670466
