OBJECTID,COUNTYNS,GEOID,NAME,State,B01001_calc_PopDensity
1,161526,1001,Autauga County,Alabama,35.85341899
2,161527,1003,Baldwin County,Alabama,50.54150356
3,161528,1005,Barbour County,Alabama,11.24798121
4,161529,1007,Bibb County,Alabama,13.973114
5,161530,1009,Blount County,Alabama,34.51581642
6,161531,1011,Bullock County,Alabama,6.41761955
7,161532,1013,Butler County,Alabama,9.952770785
8,161533,1015,Calhoun County,Alabama,73.348688
9,161534,1017,Chambers County,Alabama,21.89263808
10,161535,1019,Cherokee County,Alabama,18.0333283
11,161536,1021,Chilton County,Alabama,24.48066939
12,161537,1023,Choctaw County,Alabama,5.526508604
13,161538,1025,Clarke County,Alabama,7.603131652
14,161539,1027,Clay County,Alabama,8.552331345
15,161540,1029,Cleburne County,Alabama,10.29735391
16,161541,1031,Coffee County,Alabama,29.16467291
17,161542,1033,Colbert County,Alabama,35.49694998
18,161543,1035,Conecuh County,Alabama,5.682995171
19,161544,1037,Coosa County,Alabama,6.438885282
20,161545,1039,Covington County,Alabama,13.99370346
21,161546,1041,Crenshaw County,Alabama,8.792273306
22,161547,1043,Cullman County,Alabama,43.25267563
23,161548,1045,Dale County,Alabama,33.89312549
24,161549,1047,Dallas County,Alabama,15.79103338
25,161550,1049,DeKalb County,Alabama,35.37577983
26,161551,1051,Elmore County,Alabama,50.70144021
27,161552,1053,Escambia County,Alabama,15.24764898
28,161553,1055,Etowah County,Alabama,74.25054812
29,161554,1057,Fayette County,Alabama,10.20180135
30,161555,1059,Franklin County,Alabama,19.21135615
31,161556,1061,Geneva County,Alabama,17.80431585
32,161557,1063,Greene County,Alabama,5.028100131
33,161558,1065,Hale County,Alabama,8.925557001
34,161559,1067,Henry County,Alabama,11.76966574
35,161560,1069,Houston County,Alabama,69.48209266
36,161561,1071,Jackson County,Alabama,18.65848284
37,161562,1073,Jefferson County,Alabama,229.2513381
38,161563,1075,Lamar County,Alabama,8.894097028
39,161564,1077,Lauderdale County,Alabama,53.51282236
40,161565,1079,Lawrence County,Alabama,18.54305046
41,161566,1081,Lee County,Alabama,101.2278644
42,161567,1083,Limestone County,Alabama,64.16149688
43,161568,1085,Lowndes County,Alabama,5.520435979
44,161569,1087,Macon County,Alabama,12.08354055
45,161570,1089,Madison County,Alabama,172.2275
46,161572,1091,Marengo County,Alabama,7.722101608
47,161573,1093,Marion County,Alabama,15.58520673
